전체 산업,125410
"농업, 임업 및 어업(01~03)",126
광업(05~08),114
제조업(10~34),20555
"전기, 가스, 증기 및 공기조절 공급업(35)",545
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",601
건설업(41~42),6216
도매 및 소매업(45~47),9603
운수 및 창고업(49~52),4096
숙박 및 음식점업(55~56),12190
정보통신업(58~63),1424
금융 및 보험업(64~66),1979
부동산업(68),4526
"전문, 과학 및 기술 서비스업(70~73)",6755
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4210
"공공행정, 국방 및 사회보장 행정(84)",21871
교육 서비스업(85),14279
보건업 및 사회복지 서비스업(86~87),10183
"예술, 스포츠 및 여가관련 서비스업(90~91)",2171
"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",3966
