"행정구역별(읍면동)",2015,2016,2017,2018,2019
"전국",51069375,51269554,51422507,51629512,51779203
"읍부",4616802,4707855,4794377,4984023,5057507
"면부",4774878,4793569,4835090,4730290,4698591
"동부",41677695,41768130,41793040,41915199,42023105
"서울특별시",9904312,9805506,9741871,9673936,9639541
"부산광역시",3448737,3440484,3416918,3395278,3372692
"대구광역시",2466052,2461002,2453041,2444412,2429940
"인천광역시",2890451,2913024,2925967,2936117,2952237
"광주광역시",1502881,1501557,1496172,1490092,1489730
"대전광역시",1538394,1535445,1525849,1511214,1498839
"울산광역시",1166615,1166033,1157077,1150116,1143692
"세종특별자치시",204088,242507,276589,312374,338136
"경기도",12479061,12671956,12851601,13103188,13300900
"강원도",1518040,1521751,1521386,1520391,1520127
"충청북도",1589347,1603404,1611009,1620935,1629343
"충청남도",2107802,2132566,2162426,2181416,2188649
"전라북도",1834114,1833168,1826174,1818157,1807423
"전라남도",1799044,1796017,1792319,1790352,1787543
"경상북도",2680294,2682169,2677058,2672902,2668154
"경상남도",3334524,3339633,3345293,3350350,3347209
"제주특별자치도",605619,623332,641757,658282,665048
